Player,Season,Age,Team,League,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TOV
Adam Hrycaniuk,2022-23,38,Krajowa Grupa Spozywcza Arka Gdynia,P-OBL,27,19.9,6.3,2.6,5.0,51.5,0.0,0.0,0.0,1.2,1.9,63.5,4.9,0.9,0.2,0.4,1.3
Adam Hrycaniuk,2023-24,39,Krajowa Grupa Spozywcza Arka Gdynia,P-OBL,30,14.8,6.1,2.3,3.9,58.1,0.0,0.0,0.0,1.6,1.9,84.2,2.7,0.8,0.1,0.2,0.9
Adam Hrycaniuk,2024-25,40,Krajowa Grupa Spozywcza Arka Gdynia,P-OBL,30,12.3,4.0,1.4,3.0,45.1,0.0,0.0,0.0,1.3,1.6,79.2,2.6,0.7,0.2,0.1,0.7
Adam Hrycaniuk,2025-26,41,Krajowa Grupa Spozywcza Arka Gdynia BC,P-OBL,37,8.9,2.7,0.9,2.1,44.9,0.0,0.0,0.0,0.8,1.0,76.3,1.8,0.4,0.1,0.1,0.6
"Lukashov, Denys",2020-21,31,SC Prometey Kamianske,Uk Superleague,46,25.1,9.0,3.3,6.8,47.8,1.3,3.3,38.3,1.2,1.4,84.6,3.3,5.2,0.8,0.2,1.3
"Lukashov, Denys",2021-22,32,SC Prometey Kamianske,Uk Superleague,25,20.0,7.2,2.4,5.4,45.5,1.3,3.0,44.6,1.0,1.2,80.6,2.9,3.0,0.7,0.2,0.9
"Lukashov, Denys",2022-23,33,SC Prometey Kamianske,ELBL,29,17.4,6.7,2.4,5.2,46.7,1.1,2.7,41.8,0.7,0.9,76.9,2.6,2.7,0.7,0.1,1.0
"Lukashov, Denys",2023-24,34,SC Prometey Kamianske,ELBL,22,15.7,4.1,1.5,3.8,38.1,0.7,2.1,32.6,0.5,0.6,85.7,2.1,2.8,0.6,0.0,0.4
"Lukashov, Denys",2024-25,35,KB Peja,FBK,14,17.0,6.4,2.3,4.2,54.2,1.6,2.9,56.1,0.1,0.1,100.0,2.7,2.1,0.6,0.1,1.4
"Lukashov, Denys",2025-26,36,Rigas Zelli,ELBL,11,24.1,5.2,1.7,3.9,44.2,1.0,2.7,36.7,0.7,0.9,80.0,2.5,5.4,0.7,0.0,1.1
Edin Atic,2020-21,23,BC Igokea,Liga ABA,25,26.4,10.7,3.9,8.2,47.5,1.4,4.5,31.3,1.5,2.0,76.0,4.5,3.2,1.4,0.6,1.4
Edin Atic,2021-22,24,Buducnost Voli Podgorica,Liga ABA,28,18.3,5.9,2.2,5.4,40.7,0.9,2.8,33.3,0.6,0.8,72.7,4.2,1.6,0.7,0.2,1.1
Edin Atic,2022-23,25,Buducnost Voli Podgorica,Liga ABA,27,16.6,6.0,2.3,4.3,52.6,0.7,2.1,31.0,0.8,1.3,62.9,2.3,1.4,0.6,0.5,1.0
Edin Atic,2023-24,26,BC Igokea,Liga ABA,19,24.9,10.6,3.5,9.6,36.6,1.4,5.1,27.8,2.2,2.8,77.4,3.5,4.6,1.3,0.4,1.6
Edin Atic,2024-25,27,Rio Breogan,ACB,26,19.3,6.0,2.2,5.0,42.7,0.9,2.7,33.8,0.8,1.1,72.4,3.5,1.6,1.1,0.6,1.3
Edin Atic,2025-26,28,KK Bosna,Liga ABA,24,22.7,9.0,3.0,7.8,39.0,0.9,3.6,24.4,2.0,2.8,72.1,3.6,2.8,1.3,0.4,2.1
